id,split,word,gold_segmentation,model,prediction,category,subtype,error_type,analysis,evaluation_basis,surface_concatenative_gold
K00775,DEV,রূপাই,রূপা+আই,Morfessor-Baseline fallback,র+ূ+প+াই,inflection,verb_nonfinite,boundary/over-segmentation,The model inserts internal boundaries inside the lexical/root portion and does not recover রূপা+আই.,Current validated TEST/DEV prediction output,False
K00793,DEV,পঢ়েহিঅন,পঢ়া+এহ+ইঅন,Morfessor-Baseline fallback,পঢ়+ে+হিঅ+ন,inflection,verb_finite_example,boundary/over-segmentation,The prediction fragments the surface form instead of recovering the multi-morpheme analysis.,Current validated TEST/DEV prediction output,False
K00801,DEV,ধরেহেথিন,ধরা+এহ+এথিন,Morfessor-Baseline fallback,ধরেহ+েথি+ন,inflection,verb_finite_example,wrong segmentation / morphophonemic,The model places boundaries that do not correspond to the gold morphophonemic analysis.,Current validated TEST/DEV prediction output,False
K00808,DEV,পঢ়বেহে,পঢ়া+ব+এহে,Morfessor-Baseline fallback,পঢ়+বে+হে,inflection,verb_finite_example,wrong segmentation / morphophonemic,Gold contains three morphemes; prediction uses incompatible surface chunks.,Current validated TEST/DEV prediction output,False
K00821,DEV,নাচাউএলাই,নাচা+আউএলাই,Morfessor-Baseline fallback,নাচ+া+উএ+লাই,inflection,verb_nonfinite,boundary/over-segmentation,Several internal boundaries are introduced inside a non-surface-concatenative form.,Current validated TEST/DEV prediction output,False
K00822,DEV,কাঁদে,কাঁদা+এ,Morfessor-Baseline fallback,ক+াঁ+দে,inflection,verb_nonfinite,boundary/over-segmentation,The root is split internally; orthographic/morphophonemic alternation is not handled.,Current validated TEST/DEV prediction output,False
K00826,DEV,গাহে,গাহা+এ,Morfessor-Baseline fallback,গাহ+ে,inflection,verb_nonfinite,missed boundary / wrong suffix realization,The model fails to recover the gold morphological decomposition গাহা+এ.,Current validated TEST/DEV prediction output,False
K00830,DEV,দেউএক,দেউআ+এক,Morfessor-Baseline fallback,দে+উএ+ক,inflection,verb_nonfinite,wrong segmentation / morphophonemic,Prediction is incompatible with the gold root+suffix analysis.,Current validated TEST/DEV prediction output,False
K00837,DEV,বাঁধিকুহুন,বাঁধা+ইকুহুন,Morfessor-Baseline fallback,বাঁধ+িকুহুন,inflection,verb_nonfinite,missed boundary / morphophonemic,The root alternation and suffix boundary are not recovered.,Current validated TEST/DEV prediction output,False
K00842,DEV,নাচি,নাচা+ই,Morfessor-Baseline fallback,নাচি,inflection,verb_nonfinite,missed boundary,"The predicted word is left unsplit, missing the gold boundary after the root.",Current validated TEST/DEV prediction output,False
K00740,TEST,মাথানি,মাথ+আনি,Morfessor-Baseline fallback,মা+থ+ানি,suffix,derivational,boundary/over-segmentation,The suffix boundary is not recovered; the root is also split internally.,Current validated TEST/DEV prediction output,False
K00741,TEST,মাধানি,মাধ+আনি,Morfessor-Baseline fallback,মা+ধ+ানি,suffix,derivational,boundary/over-segmentation,The root is split internally and the suffix is not correctly isolated.,Current validated TEST/DEV prediction output,False
K00742,TEST,রাখানি,রাখ+আনি,Morfessor-Baseline fallback,রা+খ+ানি,suffix,derivational,boundary/over-segmentation,The model fragments the root and does not recover the suffix boundary.,Current validated TEST/DEV prediction output,False
K00794,TEST,পঢ়েহিস,পঢ়া+এহ+ইস,Morfessor-Baseline fallback,পঢ়+ে+হি+স,inflection,verb_finite_example,boundary/over-segmentation,The prediction over-segments the surface form relative to the three-morpheme gold analysis.,Current validated TEST/DEV prediction output,False
K00796,TEST,পঢ়েহিহা,পঢ়া+এহ+ইহা,Morfessor-Baseline fallback,পঢ়+ে+হিহা,inflection,verb_finite_example,wrong segmentation / morphophonemic,The model does not recover the gold root and inflectional sequence.,Current validated TEST/DEV prediction output,False
K00807,TEST,কাটবেইন,কাট+ব+এইন,Morfessor-Baseline fallback,ক+া+ট+বেই+ন,inflection,verb_finite_example,boundary/over-segmentation,The lexical root is split into individual characters and the inflection is missegmented.,Current validated TEST/DEV prediction output,False
K00832,TEST,সুনেক,সুনা+এক,Morfessor-Baseline fallback,সুনে+ক,inflection,verb_nonfinite,wrong boundary placement,The model shifts the boundary away from the gold সুনা+এক analysis.,Current validated TEST/DEV prediction output,False
K00848,TEST,সুনাই,সুনা+আই,Morfessor-Baseline fallback,সুন+াই,inflection,verb_nonfinite,wrong boundary placement / morphophonemic,The root-final vowel alternation is not handled; boundary is placed too early.,Current validated TEST/DEV prediction output,False
K00850,TEST,দেখেইতে,দেখা+এইতে,Morfessor-Baseline fallback,দেখ+েইতে,inflection,verb_nonfinite,wrong boundary placement / morphophonemic,The boundary is placed before the correct root realization.,Current validated TEST/DEV prediction output,False
