id,word,characters,labels,segmentation,category,subtype,source_page,validation_status,validation_note
K00484,ঘারআউলা,ঘ া র আ উ ল া,B M E B M M E,ঘার+আউলা,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00485,লুগাআউলা,ল ু গ া আ উ ল া,B M M E B M M E,লুগা+আউলা,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00486,গাড়িআউলা,গ া ড ় ি আ উ ল া,B M M M E B M M E,গাড়ি+আউলা,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00487,ঘারআউলি,ঘ া র আ উ ল ি,B M E B M M E,ঘার+আউলি,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00488,লুগাআউলি,ল ু গ া আ উ ল ি,B M M E B M M E,লুগা+আউলি,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00489,মাছআউলি,ম া ছ আ উ ল ি,B M E B M M E,মাছ+আউলি,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00490,চুইলআউলি,চ ু ই ল আ উ ল ি,B M M E B M M E,চুইল+আউলি,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00491,গাড়িআউলি,গ া ড ় ি আ উ ল ি,B M M M E B M M E,গাড়ি+আউলি,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00492,গরুআউলি,গ র ু আ উ ল ি,B M E B M M E,গরু+আউলি,suffix,taddhita,136,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00622,জমিদার,জ ম ি দ া র,B M E B M E,জমি+দার,suffix,লাহনা/derivational suffix,134,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00623,খেউঅটদার,খ ে উ অ ট দ া র,B M M M E B M E,খেউঅট+দার,suffix,লাহনা/derivational suffix,134,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00624,বাজনদার,ব া জ ন দ া র,B M M E B M E,বাজন+দার,suffix,লাহনা/derivational suffix,134,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00625,হকদার,হ ক দ া র,B E B M E,হক+দার,suffix,লাহনা/derivational suffix,134,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00626,টহলদার,ট হ ল দ া র,B M E B M E,টহল+দার,suffix,লাহনা/derivational suffix,134,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00769,ঝাঁকমারি,ঝ া ঁ ক ম া র ি,B M M E B M M E,ঝাঁক+মারি,suffix,derivational,141,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00770,গাদিমারি,গ া দ ি ম া র ি,B M M E B M M E,গাদি+মারি,suffix,derivational,141,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00771,সুগুমমারি,স ু গ ু ম ম া র ি,B M M M E B M M E,সুগুম+মারি,suffix,derivational,141,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00772,চুপটিমারি,চ ু প ট ি ম া র ি,B M M M E B M M E,চুপটি+মারি,suffix,derivational,141,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00773,মালতিরাকর,ম া ল ত ি র া ক র,B M M M M M E B E,মালতিরা+কর,inflection,noun_case,142,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00774,রিঝুক,র ি ঝ ু ক,B M M E S,রিঝু+ক,inflection,noun_case,142,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
K00827,জাএক,জ া এ ক,B E B E,জা+এক,inflection,verb_nonfinite,156,VALIDATED,"Word, segmentation, B/M/E/S labels, and source page exactly match Gold dataset."
