id,word,candidate_input,boundary_position,label,gold_segmentation_x,source_page,base_id,gold_word,gold_segmentation_y,gold_source_page,word_match,segmentation_match,source_page_match,surface_concatenative,candidate_has_boundary_marker,expected_label,label_match,validation_status,validation_note
K00484_1,ঘারআউলা,ঘারআউলা‡ঘ•ারআউলা,1,0,ঘার+আউলা,136,K00484,ঘারআউলা,ঘার+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00484_2,ঘারআউলা,ঘারআউলা‡ঘা•রআউলা,2,0,ঘার+আউলা,136,K00484,ঘারআউলা,ঘার+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00484_3,ঘারআউলা,ঘারআউলা‡ঘার•আউলা,3,1,ঘার+আউলা,136,K00484,ঘারআউলা,ঘার+আউলা,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00484_4,ঘারআউলা,ঘারআউলা‡ঘারআ•উলা,4,0,ঘার+আউলা,136,K00484,ঘারআউলা,ঘার+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00484_5,ঘারআউলা,ঘারআউলা‡ঘারআউ•লা,5,0,ঘার+আউলা,136,K00484,ঘারআউলা,ঘার+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00484_6,ঘারআউলা,ঘারআউলা‡ঘারআউল•া,6,0,ঘার+আউলা,136,K00484,ঘারআউলা,ঘার+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00485_1,লুগাআউলা,লুগাআউলা‡ল•ুগাআউলা,1,0,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00485_2,লুগাআউলা,লুগাআউলা‡লু•গাআউলা,2,0,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00485_3,লুগাআউলা,লুগাআউলা‡লুগ•াআউলা,3,0,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00485_4,লুগাআউলা,লুগাআউলা‡লুগা•আউলা,4,1,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
